 Ranking , Company , Sector ,"G?nero
œÓÎ (ÌÂÚ ‚ ÓÒÌÓ‚ÌÓÈ Ú‡·ÎËˆÂ)", Country , Ventas , neto , oper , Activo ,"Pasivo total (mdp) 
—ÛÏÏ‡ Ô‡ÒÒË‚‡ (‚ ·‡Î‡ÌÒÂ) (ÏËÎÎËÓÌ˚ ÔÂÒÓ)", Empl , Posici?n en el ranking 2020 , Roe , Ranking Ganado 
297,Betterware de M?xico,Comercio especializado,H,M?xico," 100†397,00 "," 18†268,00 "," 27†166,00 "," 53†852,00 "," 40†568,00 "," 1†500,00 "," 321,00 "," 1†375,00 ",24
298,British American Tobacco M?xico,Bebidas alcoh?licas y tabaco,H,Reino Unido," 10†000,00 ", nd , nd , nd , nd ," 2†300,00 "," 280,00 ", nd ,-18
299,Kellogg Company M?xico,Alimentos y bebidas,H,Estados Unidos," 10†000,00 ", nd , nd , nd , nd ," 3†000,00 "," 278,00 ", nd ,-21
300,BMW de M?xico,Armadora,M,Alemania," 10†000,00 ", nd , nd , nd , nd ," 3†225,00 "," 297,00 ", nd ,-3
301,The Andersons M?xico,Agroindustria,H,Estados Unidos," 99†534,00 ", nd , nd , nd , nd , nd ," 385,00 ", nd ,84
302,SAP M?xico,Computaci?n y servicios,H,Alemania," 9†944,00 "," 634,00 "," 925,00 "," 7†201,00 "," 4†626,00 "," 1†036,00 "," 272,00 "," 246,00 ",-30
303,Pensiones BBVA Bancomer,Seguros y fianzas,-,Espa?a," 98†228,00 "," 1†580,00 "," 21†512,00 "," 135†242,00 "," 1†280†003,00 ", nd ," 334,00 "," 218,00 ",31
304,Corporaci?n Actinver,Servicios financieros,H,M?xico," 98†111,00 "," 8†672,00 "," 11†931,00 "," 910†165,00 "," 839†866,00 "," 2†067,00 "," 250,00 "," 123,00 ",-54
305,TC Energy M?xico,Energ?a,H,Canad?," 97†906,00 ", nd , nd ," 963†735,00 ", nd , nd ," 241,00 ", nd ,-64
306,Corporaci?n First Majestic,Miner?a,H,Canad?," 96†255,00 ", nd ," 30†132,00 "," 22†164,00 "," 51†889,00 ", nd ," 312,00 ", nd ,6
307,Pan American Silver Corp.,Miner?a,H,Canad?," 95†882,00 ", nd ," 17†098,00 "," 214†718,00 ", nd , nd ," 307,00 ", nd ,0
308,Coconal,Infraestructura,H,M?xico," 9†448,00 "," 1†912,00 "," 2†789,00 "," 24†423,00 "," 19†876,00 "," 3†493,00 "," 320,00 "," 42,00 ",12
309,Pron?sticos para la Asistencia P?blica,Juegos y sorteos,H,M?xico," 93†958,00 ", -   ," 67†363,00 "," 2†052,00 "," 16†136,00 "," 550,00 "," 357,00 ", -   ,48
310,American Express Bank M?xico,Servicios financieros,H,Estados Unidos," 9†334,00 "," 4†859,00 "," 6†950,00 "," 11†880,00 "," 2†638,00 "," 1†780,00 "," 326,00 "," 526,00 ",16
311,Arcos Dorados M?xico,Restaurantes,H,Argentina," 9†244,00 ", nd , nd , nd , nd ," 8†307,00 "," 473,00 ", nd ,162
312,Arauco Industrias M?xico,Materiales y herramientas,H,Chile," 92†335,00 ", nd , nd ," 26†015,00 ", nd ," 760,00 "," 329,00 ", nd ,17
313,Pfizer M?xico,Qu?mica farmac?utica,M,Estados Unidos," 9†209,00 "," 160,00 "," 479,00 "," 8†297,00 "," 5†725,00 "," 1†399,00 "," 268,00 "," 62,00 ",-45
314,Compa??a Minera Autl?n,Siderurgia y metalurgia,H,M?xico," 9†129,00 "," 71,00 "," 629,00 "," 166†162,00 "," 95†984,00 "," 2†278,00 "," 317,00 "," 1,00 ",3
315,Canel's,Dulces y confiter?a,H,M?xico," 91†215,00 ", nd , nd , nd , nd ," 2†700,00 "," 287,00 ", nd ,-28
316,Christus Muguerza,Servicios de salud,M,M?xico," 9†111,00 "," 1†177,00 "," 1†799,00 "," 8†783,00 "," 3†746,00 "," 7†335,00 "," 341,00 "," 234,00 ",25
317,Grupo Indi,Construcci?n,H,M?xico," 90†252,00 "," 3†334,00 "," 4†144,00 "," 240†172,00 "," 152†462,00 "," 850,00 "," 299,00 ", nd ,-18
318,Ferrero de M?xico,Dulces y confiter?a,H,Italia," 8†965,00 "," 688,00 "," 772,00 "," 6†374,00 "," 4†032,00 "," 2†345,00 "," 324,00 "," 294,00 ",6
319,Grupo Pochteca,Qu?mica y petroqu?mica,H,M?xico," 89†019,00 "," 1†906,00 "," 5†055,00 "," 55†342,00 "," 42†118,00 "," 1†713,00 "," 346,00 "," 144,00 ",27
320,Suzuki Motor de M?xico,Armadora,H,Jap?n," 8†900,00 ", nd , nd , nd , nd , nd ," 345,00 ", nd ,25
321,Telesites,Telecomunicaciones,H,M?xico," 88†568,00 "," 404,00 "," 32†028,00 "," 997†829,00 "," 565†353,00 "," 285,00 "," 305,00 "," 1,00 ",-16
322,Universal Scientific Industrial de M?xico,Electr?nica,H,China," 88†195,00 ", nd , nd ," 185†792,00 "," 74†346,00 ", nd ," 289,00 ", nd ,-33
323,Reaseguradora Patria,Seguros y fianzas,H,M?xico," 8†801,00 "," 2†522,00 ","-198,00 "," 201†448,00 "," 182†473,00 "," 140,00 "," 290,00 "," 133,00 ",-33
324,Caja Popular Mexicana,Servicios financieros,M,M?xico," 87†931,00 "," 7†922,00 "," 7†854,00 "," 759†949,00 "," 648†448,00 "," 6†800,00 "," 303,00 "," 71,00 ",-21
325,OMA (Grupo Aeroportuario del Centro Norte),Servicios aeroportuarios,H,M?xico," 8†720,00 "," 28†573,00 "," 41†104,00 "," 228†891,00 "," 116†509,00 "," 1†045,00 "," 381,00 "," 254,00 ",56
326,Molymex,Siderurgia y metalurgia,H,Chile," 87†166,00 ", nd ," 2†838,00 "," 4†292,00 "," 24†002,00 "," 350,00 "," 382,00 ", nd ,56
327,Dulces de la Rosa,Dulces y confiter?a,H,M?xico," 86†958,00 ", nd , nd , nd , nd ," 3†180,00 "," 315,00 ", nd ,-12
328,HDI Seguros,Seguros y fianzas,H,Alemania," 86†808,00 "," 5†089,00 "," 701,00 "," 175†266,00 "," 150†823,00 "," 1†581,00 "," 309,00 "," 208,00 ",-19
329,Inmuebles Carso,Inmobiliario,H,M?xico," 85†234,00 "," 4†973,00 "," 61†828,00 "," 846†015,00 "," 185†059,00 "," 968,00 "," 298,00 "," 75,00 ",-31
330,Servicio Panamericano de Proteccion,Servicios de seguridad,-,Estados Unidos," 84†407,00 ", nd , nd ," 2†693,00 ", nd ," 12†500,00 "," 310,00 ", nd ,-20
331,Diageo M?xico,Bebidas alcoh?licas y tabaco,H,Reino Unido," 8†400,00 ", nd , nd , nd , nd ," 1†250,00 "," 318,00 ", nd ,-13
332,Agnico Eagle M?xico,Miner?a,H,Canad?," 82†177,00 ", nd ," 39†571,00 "," 134†952,00 ", nd ," 1†800,00 "," 273,00 ", nd ,-59
333,Plexus Electronica,Electr?nica,H,Estados Unidos," 81†496,00 ", nd , nd ," 15†509,00 ", nd ," 2†050,00 "," 322,00 ", nd ,-11
334,Teleperformance M?xico,Servicio al cliente,H,Francia," 8†114,00 ", nd , nd , nd , nd ," 27†741,00 "," 338,00 ", nd ,4
335,Greenbrier M?xico,Maquinaria y equipo,H,Estados Unidos," 8†000,00 ", nd , nd , nd , nd , nd ," 236,00 ", nd ,-99
336,Yara M?xico,Agroindustria,H,Noruega," 7†986,00 "," 786,00 "," 1†076,00 "," 4†231,00 "," 2†877,00 "," 493,00 "," 379,00 "," 581,00 ",43
337,Afore XXI Banorte,Afore,H,M?xico," 78†346,00 "," 39†057,00 "," 47†613,00 "," 281†765,00 "," 21†763,00 ", nd ," 314,00 "," 15,00 ",-23
338,H&M M?xico,Comercio departamental,H,Suecia," 7†800,00 ", nd , nd , nd , nd ," 1†761,00 "," 355,00 ", nd ,17
339,Manpower M?xico,Recursos humanos,H,Estados Unidos," 7†783,00 ", nd , nd ," 1†748,00 "," 1†033,00 "," 202†814,00 "," 260,00 ", nd ,-79
340,Schneider Electric M?xico,Equipo el?ctrico,H,Francia," 7†700,00 ", nd , nd , nd , nd ," 13†552,00 "," 344,00 ", nd ,4
341,Mitsubishi Motors de M?xico,Armadora,H,Jap?n," 7†600,00 ", nd , nd , nd , nd , nd ," 414,00 ", nd ,73
342,Javer,Inmobiliario,H,M?xico," 75†095,00 "," 1†459,00 "," 9†792,00 "," 91†025,00 "," 6†733,00 "," 1†475,00 "," 319,00 "," 62,00 ",-23
343,Grupo Mar?timo Industrial,Alimentos y bebidas,H,M?xico," 7†500,00 ", nd , nd , nd , nd ," 3†000,00 "," 335,00 ", nd ,-8
344,Concesionaria Mexiquense,Servicios p?blicos,H,Australia," 74†424,00 ","-10†985,00 "," 25†325,00 "," 545†315,00 "," 311†545,00 "," 900,00 "," 429,00 ","-47,00 ",85
345,Boehringer Ingelheim M?xico,Qu?mica farmac?utica,H,Alemania," 74†166,00 ", nd , nd , nd , nd ," 1†780,00 "," 286,00 ", nd ,-59
346,CIBanco,Servicios financieros,H,M?xico," 7†413,00 "," 355,00 "," 759,00 "," 80†184,00 "," 75†922,00 "," 2†958,00 "," 323,00 "," 83,00 ",-23
347,Grupo Posadas,Hoteler?a y turismo,H,M?xico," 74†067,00 "," 63,00 "," 4†551,00 "," 182†445,00 "," 172†322,00 "," 15†684,00 "," 389,00 "," 62,00 ",42
348,Grupo GIA,Infraestructura,H,M?xico," 7†313,00 "," 483,00 "," 1†205,00 "," 20†110,00 "," 17†372,00 "," 768,00 "," 327,00 "," 176,00 ",-21
349,Grupo Financiero Multiva,Servicios financieros,H,M?xico," 72†645,00 "," 2†552,00 "," 2†866,00 "," 961†958,00 "," 890†489,00 "," 926,00 "," 291,00 "," 36,00 ",-58
350,Ryder de M?xico,Log?stica y transporte,H,Estados Unidos," 7†213,00 ", nd , nd ," 3†623,00 ", nd ," 4†286,00 "," 342,00 ", nd ,-8
351,F?brica de Papel San Francisco,Papel y cart?n,H,M?xico," 7†208,00 ", nd , nd , nd , nd ," 1†841,00 "," 325,00 ", nd ,-26
352,Grupo Financiero Mifel Controladora,Servicios financieros,H,M?xico," 7†205,00 "," 1†011,00 "," 1†177,00 "," 95†900,00 "," 86†990,00 "," 1†234,00 "," 330,00 "," 113,00 ",-22
353,Avient de M?xico,Qu?mica y petroqu?mica,H,Estados Unidos," 70†634,00 ", nd , nd ," 1†698,00 ", nd , nd ," 392,00 ", nd ,39
354,Sandvik Mexicana,Materiales y herramientas,H,Suecia," 70†076,00 ", nd , nd , nd , nd , nd ," 375,00 ", nd ,21
355,Autotransportes de Carga Tresguerras,Log?stica y transporte,H,M?xico," 69†938,00 ", nd , nd , nd , nd ," 7†504,00 "," 376,00 ", nd ,21
356,Global HITSS,Computaci?n y servicios,H,M?xico," 6†944,00 "," 289,00 "," 606,00 "," 2†684,00 "," 1†536,00 "," 10†885,00 "," 343,00 "," 252,00 ",-13
357,J.P. Morgan Grupo Financiero,Servicios financieros,H,Estados Unidos," 6†940,00 "," 2†086,00 "," 2†937,00 "," 152†862,00 "," 129†263,00 "," 456,00 "," 387,00 "," 88,00 ",30
358,Brembo M?xico,Automotriz y autopartes,H,Italia," 68†986,00 ", nd , nd , nd , nd ," 1†250,00 "," 353,00 ", nd ,-5
359,Argonaut Gold de M?xico,Miner?a,H,Estados Unidos," 68†681,00 ", nd ," 19†983,00 "," 57†317,00 "," 5†200,00 "," 700,00 "," 363,00 ", nd ,4
360,Grupo Pueblo Bonito,Hoteler?a y turismo,H,M?xico," 6†761,00 "," 469,00 "," 2†034,00 "," 32†427,00 "," 14†810,00 "," 5†307,00 "," 423,00 "," 27,00 ",63
361,Grupo Celanese,Qu?mica y petroqu?mica,H,Estados Unidos," 66†942,00 ", nd , nd ," 11†869,00 ", nd ," 419,00 "," 418,00 ", nd ,57
362,Bank of America M?xico,Servicios financieros,H,Estados Unidos," 6†676,00 "," 730,00 "," 713,00 "," 77†150,00 "," 65†325,00 "," 402,00 "," 292,00 "," 62,00 ",-70
363,Profuturo Afores,Afore,H,M?xico," 66†375,00 "," 22†259,00 "," 26†205,00 "," 96†937,00 "," 10†992,00 ", nd ," 351,00 "," 259,00 ",-12
364,Fonacot,Servicios financieros,H,M?xico," 65†988,00 "," 26†753,00 "," 26†753,00 "," 332†251,00 "," 130†094,00 "," 1†480,00 "," 347,00 "," 132,00 ",-17
365,Citibanamex Afore,Afore,H,Estados Unidos," 65†984,00 "," 30†783,00 "," 32†325,00 "," 92†731,00 "," 7†759,00 ", nd ," 336,00 "," 362,00 ",-29
366,CompuSoluciones,Computaci?n y servicios,H,M?xico," 6†561,00 "," 244,00 "," 231,00 "," 2†773,00 "," 1†297,00 "," 481,00 "," 383,00 "," 165,00 ",17
367,Renault M?xico,Armadora,M,Francia," 6†547,00 ", nd ," 110,00 "," 2†718,00 "," 2†718,00 "," 64,00 "," 372,00 ", nd ,5
368,Grupo Imagen Medios de Comunicaci?n,Medios de comunicaci?n,H,M?xico," 6†500,00 ", nd , nd , nd , nd ," 2†500,00 "," 364,00 ", nd ,-4
369,Coeur Mining Mexicana,Miner?a,H,Estados Unidos," 64†969,00 "," 11†975,00 "," 17†696,00 "," 60†346,00 ", nd ," 890,00 "," 348,00 ", nd ,-21
370,HSBC Seguros,Seguros y fianzas,H,Reino Unido," 64†684,00 "," 9†547,00 "," 506,00 "," 115†903,00 "," 88†368,00 ", nd ," 441,00 "," 347,00 ",71
371,Consorcio ARA,Inmobiliario,H,M?xico," 63†768,00 "," 5†829,00 "," 6†906,00 "," 213†919,00 "," 71†955,00 "," 6†011,00 "," 380,00 "," 41,00 ",9
372,Novartis M?xico,Qu?mica farmac?utica,H,Suiza," 6†281,00 "," 132,00 "," 315,00 "," 5†190,00 "," 4†305,00 "," 1†889,00 "," 366,00 "," 149,00 ",-6
373,Ontex M?xico - P.I. Mabe,Productos de consumo,H,B?lgica," 61†701,00 ", nd , nd ," 33†913,00 ", nd ," 3†500,00 "," 352,00 ", nd ,-21
374,Afore Sura,Afore,H,Colombia," 61†613,00 "," 19†552,00 "," 26†943,00 "," 97†708,00 "," 15†386,00 ", nd ," 365,00 "," 238,00 ",-9
375,Tupy M?xico,Automotriz y autopartes,H,Brasil," 61†079,00 ", nd , nd ," 42†033,00 ", nd ," 4†000,00 "," 378,00 ", nd ,3
376,Acciona M?xico,Infraestructura,H,Espa?a," 60†835,00 ", nd , nd ," 394†229,00 ", nd ," 2†000,00 "," 362,00 ", nd ,-14
377,AstraZeneca,Qu?mica farmac?utica,M,Reino Unido," 6†000,00 ", nd , nd , nd , nd ," 1†350,00 "," 419,00 ", nd ,42
378,Farmac?uticos Maypo,Qu?mica farmac?utica,H,M?xico," 5†964,00 "," 278,00 "," 381,00 "," 3†868,00 "," 1†773,00 "," 1†921,00 "," 358,00 "," 133,00 ",-20
379,Seguros Sura,Seguros y fianzas,H,Colombia," 59†003,00 ","-1†398,00 ","-423,00 "," 102†243,00 "," 87†804,00 ", nd ," 384,00 ","-97,00 ",5
380,Grupo Adecco M?xico,Recursos humanos,H,Suiza," 5†854,00 "," 149,00 "," 2†388,00 "," 9†826,00 "," 658,00 "," 96†834,00 "," 328,00 "," 46,00 ",-52
381,Daimler M?xico,Armadora,H,Alemania," 57†953,00 "," 8†344,00 "," 8†269,00 "," 30†626,00 "," 21†884,00 "," 3†116,00 "," 277,00 "," 95,00 ",-104
382,Banco Sabadell M?xico,Servicios financieros,H,Espa?a," 5†790,00 "," 118,00 "," 47,00 "," 119†154,00 "," 104†884,00 "," 893,00 "," 332,00 "," 8,00 ",-50
383,RLH Properties,Hoteler?a y turismo,H,M?xico," 57†429,00 "," 201,00 "," 16,00 "," 346†432,00 "," 15†870,00 "," 4†011,00 "," 484,00 "," 1,00 ",101
384,Grupo Minsa,Alimentos y bebidas,M,M?xico," 57†346,00 "," 112,00 "," 1†733,00 "," 42†184,00 "," 18†768,00 "," 2†006,00 "," 390,00 "," 48,00 ",6
385,CFE Capital,Servicios inmobiliarios,H,M?xico," 57†213,00 "," 56†112,00 "," 56†112,00 "," 262†775,00 ", nd , nd ," 494,00 "," 214,00 ",109
386,Grupo Financiero BASE,Servicios financieros,H,M?xico," 5†717,00 "," 544,00 "," 724,00 "," 74†445,00 "," 70†620,00 "," 931,00 "," 354,00 "," 142,00 ",-32
387,Grupo Caliente,Juegos y sorteos,H,M?xico," 5†600,00 ", nd , nd , nd , nd , nd ," 444,00 ", nd ,57
388,Leggett & Platt de M?xico,Tecnolog?a diversificada,H,Estados Unidos," 55†988,00 ", nd , nd ," 2†844,00 ", nd , nd ," 406,00 ", nd ,18
389,Atento M?xico,Servicio al cliente,H,Estados Unidos," 5†598,00 ","-151,00 "," 70,00 "," 6†680,00 "," 6†154,00 "," 14†029,00 "," 367,00 ","-287,00 ",-22
390,SKF de M?xico,Automotriz y autopartes,H,Suecia," 5†500,00 ", nd , nd , nd , nd ," 1†649,00 "," 395,00 ", nd ,5
391,Hershey's M?xico,Dulces y confiter?a,H,Estados Unidos," 5†500,00 ", nd , nd , nd , nd ," 4†400,00 "," 399,00 ", nd ,8
392,CHEP M?xico,Log?stica y transporte,M,Australia," 5†500,00 ", nd , nd , nd , nd ," 300,00 "," 403,00 ", nd ,11
393,Promotora Ambiental,Servicios p?blicos,H,M?xico," 54†782,00 "," 912,00 "," 4†652,00 "," 66†127,00 "," 41†218,00 "," 6†861,00 "," 393,00 "," 37,00 ",0
394,Provident M?xico,Servicios financieros,H,Reino Unido," 5†405,00 "," 514,00 "," 5†134,00 "," 5†340,00 "," 2†407,00 "," 2†312,00 "," 432,00 "," 175,00 ",38
395,Birmex,Servicios de salud,H,M?xico," 53†931,00 ","-711,00 "," 76,00 "," 62†589,00 "," 39†986,00 "," 470,00 "," 424,00 ","-31,00 ",29
396,AIG Seguros M?xico,Seguros y fianzas,H,Estados Unidos," 53†867,00 "," 5†588,00 "," 5†291,00 "," 66†023,00 "," 4†187,00 "," 374,00 "," 370,00 "," 231,00 ",-26
397,Kimball Electronics M?xico,Electr?nica,H,Estados Unidos," 53†812,00 ", nd , nd ," 9†399,00 ", nd ," 1†000,00 "," 401,00 ", nd ,4
398,TI Group Automotive Systems M?xico,Automotriz y autopartes,H,Reino Unido," 5†255,00 ", nd , nd ," 17†801,00 ", nd , nd ," 394,00 ", nd ,-4
399,Mota-Engil M?xico,Infraestructura,H,Portugal," 5†251,00 "," 256,00 "," 304,00 "," 13†354,00 "," 11†564,00 "," 1†811,00 "," 434,00 "," 143,00 ",35
400,Super del Norte,Comercio autoservicio,H,M?xico," 5†250,00 ", nd , nd , nd , nd ," 6†000,00 "," 396,00 ", nd ,-4
401,Toyota Financial Services M?xico,Servicios financieros,H,Jap?n," 52†386,00 "," 13†595,00 "," 18†055,00 "," 38†667,00 "," 330†619,00 "," 135,00 "," 368,00 "," 243,00 ",-33
402,Bausch Health M?xico,Qu?mica farmac?utica,H,Canad?," 5†193,00 ", nd , nd ," 9†209,00 ", nd , nd ," 397,00 ", nd ,-5
403,Solvay M?xico,Qu?mica y petroqu?mica,H,B?lgica," 51†567,00 ", nd , nd , nd , nd ," 500,00 "," 408,00 ", nd ,5
404,Actinver Casa de Bolsa,Servicios financieros,H,M?xico," 5†140,00 "," 524,00 "," 694,00 "," 47†435,00 "," 44†651,00 "," 1†380,00 "," 360,00 "," 188,00 ",-44
405,Yakult M?xico,Alimentos y bebidas,H,Jap?n," 51†121,00 ", nd , nd , nd , nd ," 3†500,00 "," 388,00 ", nd ,-17
406,Enel M?xico,Energ?a,H,Italia," 5†111,00 ","-436,00 "," 1†166,00 "," 18†299,00 "," 24†059,00 "," 377,00 "," 435,00 ", nd ,29
407,Dish de M?xico,Telecomunicaciones,H,M?xico/Estados Unidos," 5†100,00 ", nd , nd , nd , nd , nd ," 350,00 ", nd ,-57
408,Capstone M?xico Mining Corp.,Miner?a,H,Canad?," 50†293,00 "," 21†911,00 "," 32†706,00 "," 20†611,00 "," 50†623,00 ", nd ," 476,00 ", nd ,68
409,MG Motor M?xico,Armadora,H,Reino Unido," 5†000,00 ", nd , nd , nd , nd ," 1†200,00 "," 495,00 ", nd ,86
410,Merck M?xico,Qu?mica farmac?utica,H,Alemania," 5†000,00 ", nd , nd , nd , nd ," 1†380,00 "," 411,00 ", nd ,1
411,Bonatti M?xico,Petr?leo y gas,H,Italia," 5†000,00 ", nd , nd , nd , nd , nd ," 430,00 ", nd ,19
412,Seguros Azteca,Seguros y fianzas,H,M?xico," 49†831,00 "," 298,00 ","-1†615,00 "," 56†395,00 "," 39†509,00 ", nd ," 402,00 "," 18,00 ",-10
413,Cetelem,Servicios financieros,H,Francia," 4†963,00 "," 899,00 "," 1†140,00 "," 35†544,00 "," 28†977,00 "," 70,00 "," 400,00 "," 137,00 ",-13
414,Organizaci?n Cultiba,Alimentos y bebidas,H,M?xico," 4†919,00 ","-7†056,00 ","-15†392,00 "," 181†574,00 "," 26†323,00 "," 2†096,00 "," 386,00 ","-45,00 ",-28
415,Fibra Prologis,Servicios inmobiliarios,H,M?xico," 49†064,00 "," 99†794,00 "," 33†855,00 "," 721†908,00 "," 22†442,00 ", nd ," 404,00 "," 201,00 ",-11
416,Playa Hotels & Resorts M?xico,Hoteler?a y turismo,H,Pa?ses Bajos," 4†900,00 ", nd , nd , nd , nd ," 4†032,00 "," 465,00 ", nd ,49
417,Liconsa,Comercio autoservicio,H,M?xico," 4†896,00 "," 18†013,00 ","-4†827,00 "," 59†483,00 "," 15†625,00 "," 4†000,00 "," 369,00 "," 411,00 ",-48
418,Grupo Vasconia,Siderurgia y metalurgia,H,M?xico," 48†718,00 "," 1†669,00 "," 3†537,00 "," 53†989,00 "," 31†418,00 "," 1†660,00 "," 452,00 "," 74,00 ",34
419,Financiera Independencia,Servicios financieros,H,M?xico," 4†807,00 "," 3†469,00 "," 6†587,00 "," 10†599,00 "," 61†446,00 "," 4†735,00 "," 371,00 "," 78,00 ",-48
420,Fibra Danhos,Servicios inmobiliarios,H,M?xico," 47†662,00 "," 28†048,00 "," 30†659,00 "," 680†398,00 "," 75†504,00 "," 229,00 "," 405,00 "," 46,00 ",-15
421,Vector Casa de Bolsa,Servicios financieros,H,M?xico," 4†723,00 "," 246,00 "," 352,00 "," 33†533,00 "," 31†942,00 "," 800,00 "," 415,00 "," 155,00 ",-6
422,Pascual Boing,Alimentos y bebidas,H,M?xico," 4†700,00 ", nd , nd , nd , nd ," 4†800,00 "," 412,00 ", nd ,-10
423,Banco del Bienestar,Servicios financieros,M,M?xico," 4†588,00 ","-230,00 ","-317,00 "," 91†225,00 "," 74†120,00 "," 1†400,00 "," 420,00 ","-13,00 ",-3
424,Financiera Nacional de Desarrollo,Servicios financieros,H,M?xico," 45†813,00 ","-10†746,00 "," 723,00 "," 50†717,00 "," 20†433,00 "," 1†000,00 "," 349,00 ","-35,00 ",-75
425,GlaxoSmithKline,Qu?mica farmac?utica,M,Reino Unido," 4†570,00 ", nd , nd , nd , nd ," 720,00 "," 417,00 ", nd ,-8
426,Arcosa Industries de M?xico,Infraestructura,H,Estados Unidos," 45†648,00 ", nd , nd ," 46†633,00 ", nd ," 2†035,00 "," 472,00 ", nd ,46
427,Howmet Aerospace M?xico,Aeroespacial,H,Estados Unidos," 45†642,00 ", nd , nd ," 12†483,00 ", nd , nd ," 428,00 ", nd ,1
428,Conagra Brands,Alimentos y bebidas,H,Estados Unidos," 4†551,00 ", nd , nd , nd , nd ," 871,00 "," 407,00 ", nd ,-21
429,PAM Transport M?xico,Log?stica y transporte,H,Estados Unidos," 4†530,00 ", nd , nd , nd , nd , nd ," 446,00 ", nd ,17
430,Corp. Interamericana de Entretenimiento,Entretenimiento,H,M?xico," 45†279,00 "," 57†699,00 "," 3†224,00 "," 124†978,00 "," 60†084,00 "," 675,00 "," 421,00 "," 889,00 ",-9
431,Restaurantes Toks,Restaurantes,H,M?xico," 45†111,00 "," 2†272,00 ", nd ," 7†261,00 ", nd ," 8†400,00 "," 467,00 ", nd ,36
432,Alamos Gold,Miner?a,H,Canad?," 44†851,00 ", nd ," 7†384,00 "," 110†341,00 "," 31†719,00 ", nd ," 373,00 ", nd ,-59
433,Axalta Coating Systems M?xico,Qu?mica y petroqu?mica,H,Estados Unidos," 44†792,00 ", nd , nd , nd , nd ," 1†000,00 "," 427,00 ", nd ,-6
434,Wabtec de M?xico,Automotriz y autopartes,H,Estados Unidos," 44†628,00 ", nd , nd ," 4†502,00 ", nd , nd ," 426,00 ", nd ,-8
435,Agroasemex,Seguros y fianzas,H,M?xico," 44†586,00 "," 1†418,00 ","-6†785,00 "," 179†374,00 "," 134†864,00 "," 200,00 "," 442,00 "," 32,00 ",7
436,Fortuna Silver Mines M?xico,Miner?a,H,Canad?," 4†383,00 ", nd , nd , nd , nd ," 1†200,00 "," 422,00 ", nd ,-14
437,Autobuses IAMSA,Log?stica y transporte,H,M?xico," 43†464,00 ", nd , nd , nd , nd ," 30†000,00 "," 471,00 ", nd ,34
438,Grupo Gayosso,Servicios funerarios,H,M?xico," 4†306,00 "," 489,00 "," 1†355,00 "," 10†106,00 "," 7†186,00 "," 6†871,00 "," 433,00 "," 167,00 ",-5
439,GMD (Grupo Mexicano de Desarrollo),Infraestructura,H,M?xico," 42†495,00 "," 7†895,00 "," 10†152,00 "," 10†165,00 "," 37†909,00 "," 2†010,00 "," 438,00 "," 124,00 ",-1
440,Eli Lilly de M?xico,Qu?mica farmac?utica,H,Estados Unidos," 4†236,00 ", nd , nd , nd , nd ," 569,00 "," 410,00 ", nd ,-30
441,Inversora Burs?til Casa de Bolsa,Servicios financieros,H,M?xico," 4†235,00 "," 317,00 "," 343,00 "," 55†707,00 "," 51†581,00 "," 240,00 "," 391,00 "," 77,00 ",-50
442,Fibra Educa,Servicios inmobiliarios,H,M?xico," 4†197,00 "," 38†323,00 "," 37†709,00 "," 297†936,00 ", nd , nd ," 470,00 "," 129,00 ",28
443,Sistema de Transporte Colectivo,Log?stica y transporte,M,M?xico," 41†938,00 ","-75†242,00 ","-80†681,00 "," 3†383†235,00 "," 43†582,00 "," 15†500,00 "," 409,00 ","-23,00 ",-34
444,Finamex Casa de Bolsa,Servicios financieros,H,M?xico," 4†189,00 "," 11,00 ","-31,00 "," 61†466,00 "," 59†821,00 "," 280,00 "," 361,00 "," 7,00 ",-83
445,Vinte Inmobiliaria,Inmobiliario,H,M?xico," 41†612,00 "," 379,00 "," 643,00 "," 9†512,00 "," 5†143,00 "," 1†841,00 "," 440,00 "," 87,00 ",-5
446,Grupo GICSA,Inmobiliario,H,M?xico," 4†130,00 "," 1†782,00 "," 23†697,00 "," 762†485,00 "," 449†838,00 "," 705,00 "," 398,00 "," 6,00 ",-48
447,Stabilus M?xico,Automotriz y autopartes,H,Luxemburgo," 40†512,00 ", nd , nd , nd , nd , nd ," 445,00 ", nd ,-2
448,ArvinMeritor de M?xico,Automotriz y autopartes,H,Estados Unidos," 39†855,00 ", nd , nd ," 43†665,00 ", nd , nd ," 463,00 ", nd ,15
449,Fibra Terrafina,Servicios inmobiliarios,H,M?xico," 39†751,00 "," 61†755,00 "," 70†499,00 "," 544†351,00 "," 212†185,00 "," 65,00 "," 416,00 "," 186,00 ",-33
450,Epiroc M?xico,Maquinaria y equipo,M,Suecia," 39†648,00 ", nd , nd , nd , nd , nd ," 447,00 ", nd ,-3
451,Hydro Aluminium M?xico,Siderurgia y metalurgia,H,Noruega," 39†509,00 ", nd , nd ," 4†996,00 ", nd ," 418,00 "," 437,00 ", nd ,-14
452,Grupo Royal Holiday,Hoteler?a y turismo,H,M?xico," 3†938,00 "," 71,00 "," 110,00 "," 9†644,00 "," 4†464,00 "," 3†813,00 "," 489,00 "," 14,00 ",37
