 Ranking , Company , Sector ,"G?nero
œÓÎ (ÌÂÚ ‚ ÓÒÌÓ‚ÌÓÈ Ú‡·ÎËˆÂ)", Country , Ventas , neto , oper , Activo ,"Pasivo total (mdp) 
—ÛÏÏ‡ Ô‡ÒÒË‚‡ (‚ ·‡Î‡ÌÒÂ) (ÏËÎÎËÓÌ˚ ÔÂÒÓ)", Empl , Posici?n en el ranking 2020 , Roe , Ranking Ganado 
49,Flextronics Manufacturing M?xico,Electr?nica,H,Singapur," 86†546,00 "," 1†200,00 ", nd ," 113†035,00 ", nd ," 35†000,00 "," 46,00 ", nd ,-3
50,Corporativo Fragua,Comercio de medicamentos,H,M?xico," 847†944,00 "," 26†218,00 "," 52†172,00 "," 389†679,00 "," 216†535,00 "," 49†392,00 "," 51,00 "," 151,00 ",1
51,Grupo Xignux,Holding,H,M?xico," 847†894,00 "," 31†796,00 "," 66†384,00 "," 827†724,00 "," 702†714,00 "," 27†215,00 "," 63,00 "," 254,00 ",12
52,Iberdrola M?xico,Energ?a,H,Espa?a," 836†662,00 ", nd ," 13†213,00 ", nd , nd ," 1†300,00 "," 61,00 ", nd ,9
53,Mabe,Electr?nica de consumo,H,M?xico," 83†502,00 "," 3†538,00 "," 5†756,00 "," 67†371,00 "," 47†195,00 "," 24†635,00 "," 55,00 "," 175,00 ",2
54,Grupo Lala,Alimentos y bebidas,H,M?xico," 81†944,00 ","-14†696,00 "," 10†021,00 "," 660†886,00 "," 520†406,00 "," 39†832,00 "," 47,00 ","-105,00 ",-7
55,Industrias Bachoco,Agroindustria,H,M?xico," 816†991,00 "," 50†656,00 "," 58†919,00 "," 659†888,00 "," 177†047,00 "," 32†058,00 "," 57,00 "," 105,00 ",2
56,Grupo Villacero,Siderurgia y metalurgia,H,M?xico," 80†000,00 ", nd , nd , nd , nd ," 10†000,00 "," 76,00 ", nd ,20
57,Magna International M?xico,Automotriz y autopartes,H,Canad?," 777†537,00 ", nd , nd ," 247†612,00 ", nd , nd ," 53,00 ", nd ,-4
58,Nemak,Automotriz y autopartes,H,M?xico," 77†078,00 "," 85,00 "," 4†662,00 "," 101†395,00 "," 65†882,00 "," 20†493,00 "," 60,00 "," 2,00 ",2
59,GNP,Seguros y fianzas,H,M?xico," 745†401,00 "," 1†618,00 "," 1†913,00 "," 201†356,00 "," 185†832,00 "," 7†500,00 "," 52,00 "," 104,00 ",-7
60,Nestl? M?xico,Alimentos y bebidas,H,Suiza," 74†200,00 ", nd , nd , nd , nd ," 12†583,00 "," 59,00 ", nd ,-1
61,Continental M?xico,Automotriz y autopartes,H,Alemania," 73†700,00 ", nd , nd , nd , nd ," 20†000,00 "," 58,00 ", nd ,-3
62,FEMSA Divisi?n Salud,Comercio de medicamentos,H,M?xico," 73†027,00 ", nd ," 3†762,00 ", nd , nd ," 32†058,00 "," 62,00 ", nd ,0
63,Banco Azteca,Servicios financieros,H,M?xico," 68†974,00 "," 1†448,00 "," 2†169,00 "," 257†014,00 "," 231†488,00 "," 42†482,00 "," 67,00 "," 57,00 ",4
64,Grupo Financiero HSBC,Servicios financieros,H,Reino Unido," 68†040,00 "," 4†412,00 "," 64†541,00 "," 726†735,00 "," 655†320,00 "," 14†522,00 "," 50,00 "," 62,00 ",-14
65,Grupo Financiero Inbursa,Servicios financieros,H,M?xico," 670†615,00 "," 208†921,00 "," 207†879,00 "," 5†709†759,00 "," 3†968†989,00 "," 3†800,00 "," 56,00 "," 12,00 ",-9
66,Tiendas Elektra,Comercio departamental,H,M?xico," 65†530,00 ", nd , nd ," 133†451,00 "," 76†843,00 ", nd ," 73,00 ", nd ,7
